"","OTU","X","LogMeanMax","Class","LDA","pValue","exp","testingGroup","genus","experiment"
"116","Otu0047",75168,3.67726,"TRUE",3.36147,0.00194577,"PRJEB20299","turned","Rhizobiaceae_unclassified(100)","PRJEB20299"
"117","Otu0047",90666,3.772,"late",3.47045,0.00777266,"PRJEB20299","stage","Rhizobiaceae_unclassified(100)","PRJEB20299"
"118","Otu0047",87300,3.76972,"late",3.4172,0.00777266,"PRJEB20299","stage","Rhizobiaceae_unclassified(100)","PRJEB20299"
"119","Otu0047",71802,3.68054,"TRUE",3.346,0.00194577,"PRJEB20299","turned","Rhizobiaceae_unclassified(100)","PRJEB20299"
"120","Otu0048",79552,3.63691,"early",3.22628,0.0350057,"PRJEB20299","treatment","Flavobacteriaceae_unclassified(99)","PRJEB20299"
"121","Otu0048",82918,3.64175,"early",3.22315,0.0350241,"PRJEB20299","treatment","Flavobacteriaceae_unclassified(99)","PRJEB20299"
"122","Otu0049",87302,3.82461,"middle",3.48766,0.00609373,"PRJEB20299","stage","Paracoccaceae_unclassified(100)","PRJEB20299"
"123","Otu0049",75170,3.69542,"TRUE",3.35043,0.00194577,"PRJEB20299","turned","Paracoccaceae_unclassified(100)","PRJEB20299"
"124","Otu0049",71804,3.69507,"TRUE",3.31388,0.0019235,"PRJEB20299","turned","Paracoccaceae_unclassified(100)","PRJEB20299"
"125","Otu0049",90668,3.82357,"middle",3.48571,0.00575813,"PRJEB20299","stage","Paracoccaceae_unclassified(100)","PRJEB20299"
"126","Otu0051",87304,3.66261,"late",3.24706,0.0244498,"PRJEB20299","stage","Comamonadaceae_unclassified(100)","PRJEB20299"
"127","Otu0051",71806,3.55773,"TRUE",3.12051,0.00806225,"PRJEB20299","turned","Comamonadaceae_unclassified(100)","PRJEB20299"
"128","Otu0051",90670,3.6651,"late",3.3043,0.0283847,"PRJEB20299","stage","Comamonadaceae_unclassified(100)","PRJEB20299"
"129","Otu0051",75172,3.56239,"TRUE",3.17377,0.00982695,"PRJEB20299","turned","Comamonadaceae_unclassified(100)","PRJEB20299"
"130","Otu0052",71807,3.56299,"TRUE",3.20546,0.00292192,"PRJEB20299","turned","Xanthomonas(100)","PRJEB20299"
"131","Otu0052",90671,3.67318,"late",3.33054,0.0102208,"PRJEB20299","stage","Xanthomonas(100)","PRJEB20299"
"132","Otu0052",87305,3.67894,"late",3.38199,0.010016,"PRJEB20299","stage","Xanthomonas(100)","PRJEB20299"
"133","Otu0052",75173,3.55567,"TRUE",3.20702,0.00298601,"PRJEB20299","turned","Xanthomonas(100)","PRJEB20299"
"134","Otu0053",75174,3.54506,"TRUE",3.23012,0.00451036,"PRJEB20299","turned","Mucilaginibacter(100)","PRJEB20299"
"135","Otu0053",87306,3.69699,"late",3.37316,0.0045688,"PRJEB20299","stage","Mucilaginibacter(100)","PRJEB20299"
"136","Otu0053",71808,3.53934,"TRUE",3.21242,0.00233542,"PRJEB20299","turned","Mucilaginibacter(100)","PRJEB20299"
"137","Otu0053",90672,3.7065,"late",3.39732,0.00710029,"PRJEB20299","stage","Mucilaginibacter(100)","PRJEB20299"
"138","Otu0054",75175,3.51427,"TRUE",3.19979,0.00298601,"PRJEB20299","turned","Dyadobacter(100)","PRJEB20299"
"139","Otu0054",87307,3.70158,"late",3.35708,0.00658511,"PRJEB20299","stage","Dyadobacter(100)","PRJEB20299"
"140","Otu0054",71809,3.5253,"TRUE",3.20027,0.00295332,"PRJEB20299","turned","Dyadobacter(100)","PRJEB20299"
"141","Otu0054",90673,3.68804,"late",3.38768,0.00665821,"PRJEB20299","stage","Dyadobacter(100)","PRJEB20299"
"142","Otu0055",75176,3.60465,"TRUE",3.2886,0.00194577,"PRJEB20299","turned","Luteimonas(100)","PRJEB20299"
"143","Otu0055",71810,3.6124,"TRUE",3.24492,0.0019235,"PRJEB20299","turned","Luteimonas(100)","PRJEB20299"
"144","Otu0055",87308,3.65081,"late",3.28393,0.00802744,"PRJEB20299","stage","Luteimonas(100)","PRJEB20299"
"145","Otu0055",90674,3.6466,"late",3.38594,0.00811302,"PRJEB20299","stage","Luteimonas(100)","PRJEB20299"
"146","Otu0056",82926,3.44718,"standard",3.08461,0.0127174,"PRJEB20299","treatment","Hymenobacter(100)","PRJEB20299"
"147","Otu0056",79560,3.45778,"standard",3.04067,0.0180865,"PRJEB20299","treatment","Hymenobacter(100)","PRJEB20299"
"148","Otu0057",75178,3.47161,"TRUE",3.13227,0.00670628,"PRJEB20299","turned","Brevundimonas(100)","PRJEB20299"
"149","Otu0057",87310,3.53823,"late",3.18606,0.0209211,"PRJEB20299","stage","Brevundimonas(100)","PRJEB20299"
"150","Otu0057",90676,3.54098,"late",3.21476,0.0212797,"PRJEB20299","stage","Brevundimonas(100)","PRJEB20299"
"151","Otu0057",71812,3.46934,"TRUE",3.11709,0.00658634,"PRJEB20299","turned","Brevundimonas(100)","PRJEB20299"
"152","Otu0058",90677,3.43374,"late",3.00806,0.00777266,"PRJEB20299","stage","Mucilaginibacter(100)","PRJEB20299"
"153","Otu0058",75179,3.40124,"TRUE",2.96372,0.00194577,"PRJEB20299","turned","Mucilaginibacter(100)","PRJEB20299"
"154","Otu0058",87311,3.44049,"late",3.03965,0.00777266,"PRJEB20299","stage","Mucilaginibacter(100)","PRJEB20299"
